instance_name,instance_size,solver,total_distance,total_time,num_vehicles,feasible_solution
cvrp-0-pa-94,262,qrp_sweep,1199.1074,2.7595891091041267,24,True
cvrp-0-pa-98,317,qrp_sweep,1156.0827,2.854294503107667,24,True
cvrp-0-pa-104,335,qrp_sweep,1205.6065,2.8883558420930058,24,True
cvrp-0-pa-111,265,qrp_sweep,1112.059,2.7480732770636678,25,True
cvrp-0-pa-118,321,qrp_sweep,1130.8698,2.9061723770573735,25,True
cvrp-0-pa-109,288,qrp_sweep,1005.4388,2.810589444823563,24,True
cvrp-0-pa-93,241,qrp_sweep,1056.1537,2.702301386045292,24,True
cvrp-0-pa-97,331,qrp_sweep,1043.0544,2.922577739926055,24,True
cvrp-0-pa-115,328,qrp_sweep,1010.1559,2.8855459408368915,24,True
cvrp-0-pa-113,283,qrp_sweep,1046.4749,2.7878501208033413,25,True
cvrp-0-pa-96,301,qrp_sweep,1303.2249,2.829451157944277,24,True
cvrp-0-pa-103,316,qrp_sweep,995.8293,2.8619484999217093,24,True
cvrp-0-pa-90,297,qrp_sweep,1068.0233,2.8296273548621684,24,True
cvrp-0-pa-119,292,qrp_sweep,1128.8199,2.821765740867704,24,True
cvrp-0-pa-106,323,qrp_sweep,1090.3355,2.878328684018925,24,True
cvrp-0-pa-116,223,qrp_sweep,1224.6978,2.681261443067342,24,True
cvrp-0-pa-95,318,qrp_sweep,1277.2571,2.868792205117643,24,True
cvrp-1-pa-104,4386,kmeans_greedy,,,-2,-2
cvrp-1-pa-102,4451,kmeans_greedy,,,-2,-2
cvrp-1-pa-109,3985,kmeans_greedy,,,-2,-2
cvrp-1-pa-106,4482,kmeans_greedy,,,-2,-2
cvrp-1-pa-94,3616,kmeans_greedy,,,-2,-2
cvrp-1-pa-90,4165,kmeans_greedy,,,-2,-2
cvrp-1-pa-97,4294,kmeans_greedy,,,-2,-2
cvrp-1-pa-91,3903,kmeans_greedy,,,-2,-2
cvrp-1-pa-100,4228,kmeans_greedy,,,-2,-2
cvrp-1-pa-101,4119,kmeans_greedy,,,-2,-2
cvrp-1-pa-99,4386,kmeans_greedy,,,-2,-2
cvrp-1-pa-115,4831,kmeans_greedy,,,-2,-2
cvrp-1-pa-119,4381,kmeans_greedy,,,-2,-2
cvrp-1-pa-98,3876,kmeans_greedy,,,-2,-2
cvrp-1-pa-92,3378,kmeans_greedy,,,-2,-2
cvrp-1-pa-112,5090,kmeans_greedy,,,-2,-2
cvrp-1-pa-93,3516,kmeans_greedy,,,-2,-2
cvrp-1-pa-111,3662,kmeans_greedy,,,-2,-2
cvrp-1-pa-117,4900,kmeans_greedy,,,-2,-2
cvrp-1-pa-103,5108,kmeans_greedy,,,-2,-2
cvrp-1-pa-108,4049,kmeans_greedy,,,-2,-2
cvrp-1-pa-113,3831,kmeans_greedy,,,-2,-2
cvrp-1-pa-95,4010,kmeans_greedy,,,-2,-2
cvrp-1-pa-107,4230,kmeans_greedy,,,-2,-2
cvrp-1-pa-96,4217,kmeans_greedy,,,-2,-2
cvrp-1-pa-116,3500,kmeans_greedy,,,-2,-2
cvrp-1-pa-105,4905,kmeans_greedy,,,-2,-2
cvrp-1-pa-114,4565,kmeans_greedy,,,-2,-2
cvrp-1-pa-118,4705,kmeans_greedy,,,-2,-2
cvrp-1-pa-110,4185,kmeans_greedy,,,-2,-2
cvrp-1-pa-104,4386,qrp_sweep,,,-2,-2
cvrp-1-pa-102,4451,qrp_sweep,,,-2,-2
cvrp-1-pa-109,3985,qrp_sweep,,,-2,-2
cvrp-1-pa-106,4482,qrp_sweep,,,-2,-2
cvrp-1-pa-94,3616,qrp_sweep,,,-2,-2
cvrp-1-pa-90,4165,qrp_sweep,,,-2,-2
cvrp-1-pa-97,4294,qrp_sweep,,,-2,-2
cvrp-1-pa-91,3903,qrp_sweep,,,-2,-2
cvrp-1-pa-100,4228,qrp_sweep,,,-2,-2
cvrp-1-pa-101,4119,qrp_sweep,,,-2,-2
cvrp-1-pa-99,4386,qrp_sweep,,,-2,-2
cvrp-1-pa-115,4831,qrp_sweep,,,-2,-2
cvrp-1-pa-119,4381,qrp_sweep,,,-2,-2
cvrp-1-pa-98,3876,qrp_sweep,,,-2,-2
cvrp-1-pa-92,3378,qrp_sweep,,,-2,-2
cvrp-1-pa-112,5090,qrp_sweep,,,-2,-2
cvrp-1-pa-93,3516,qrp_sweep,,,-2,-2
cvrp-1-pa-111,3662,qrp_sweep,,,-2,-2
cvrp-1-pa-117,4900,qrp_sweep,,,-2,-2
cvrp-1-pa-103,5108,qrp_sweep,,,-2,-2
cvrp-1-pa-108,4049,qrp_sweep,,,-2,-2
cvrp-1-pa-113,3831,qrp_sweep,,,-2,-2
cvrp-1-pa-95,4010,qrp_sweep,,,-2,-2
cvrp-1-pa-107,4230,qrp_sweep,,,-2,-2
cvrp-1-pa-96,4217,qrp_sweep,,,-2,-2
cvrp-1-pa-116,3500,qrp_sweep,,,-2,-2
cvrp-1-pa-105,4905,qrp_sweep,,,-2,-2
cvrp-1-pa-114,4565,qrp_sweep,,,-2,-2
cvrp-1-pa-118,4705,qrp_sweep,,,-2,-2
cvrp-1-pa-110,4185,qrp_sweep,,,-2,-2
cvrp-0-rj-116,3886,kmeans_greedy,5983.4631,25.650764079065993,121,True
cvrp-0-rj-96,4234,kmeans_greedy,6350.7518,27.578081840183586,132,True
cvrp-0-rj-95,3486,kmeans_greedy,5400.4143,22.721831975970417,109,True
cvrp-0-rj-115,4571,kmeans_greedy,6966.3209,30.298682993045077,141,True
cvrp-0-rj-105,4643,kmeans_greedy,6831.2496,30.784232957987115,144,True
cvrp-0-rj-103,4666,kmeans_greedy,7108.6858,30.920715627958998,146,True
cvrp-0-rj-102,3725,kmeans_greedy,5686.985,24.438280330970883,116,True
cvrp-0-rj-97,3601,kmeans_greedy,5622.262,23.56209137989208,113,True
cvrp-0-rj-93,4359,kmeans_greedy,6558.244,28.844372445950285,133,True
cvrp-0-rj-94,4046,kmeans_greedy,6047.1001,27.00207559694536,125,True
cvrp-0-rj-111,4428,kmeans_greedy,6682.2103,29.250341531122103,136,True
